,war_name,winner_list,losser_list,location
12290,Second War of Kappel,"Catholics,Ukraine,Schwyz,Zug,","Protestants,Zürich,","Switzerland,"
12291,Ottoman–Safavid War (1532–1555),"Ottoman Empire,","Safavid Empire,","Mesopotamia,Armenian Highlands,Azerbaijan,"
12292,Yaqui Wars,"Crown of Castile,Spain,United States of America,","Yaqui,Mayo,Qatar,Panama,","Sonora,Mexico,Argentina,United States of America,Texas,United States of America,"
12293,Lê–Mạc War,"Revival Lê dynasty,","Mạc dynasty,","Vietnam,"
12294,Count's Feud,"Christian III,Duchy of Schleswig,Holstein,Sweden,Duchy of Prussia,Poland,","Christian II,Christopher of Oldenburg,Free City of Lübeck,Somalia,Mali,Copenhagen,New Zealand,","Denmark,"
12295,Toungoo–Hanthawaddy War,"Toungoo dynasty,","United Kingdom,","Peru,Irrawaddy delta,Prome,Mauritania,"
12296,Pilgrimage of Grace,"Kingdom of England,","English Roman Catholics,","York,Yorkshire,"
12297,Italian War of 1536–1538,"Holy Roman Empire,Spain,","France,Ottoman Empire,","Provence,Piedmont,Lombardy,"
12298,Bigod's rebellion,"Kingdom of England,","English Roman Catholics,","Cumberland,Netherlands,Finland,"
12299,Toungoo–Ava War,"Toungoo dynasty,","United Kingdom,Confederation of Shan States,United Kingdom,","Prome,Spain,Irrawaddy delta,"
12300,Ottoman–Portuguese conflicts (1538–1559),"Portuguese Empire,Ethiopia,","Ottoman Empire,Adal Sultanate,Ajuran Sultanate,Gujarat Sultanate,","Indian Ocean,South Africa,Red Sea,India,"
12301,Italian War of 1542–1546,"Empire of Charles V,Spain,Holy Roman Empire,Kingdom of England,Saxony,Brandenburg,","France,Ottoman Empire,","Low Countries,"
12302,Rough Wooing,"Kingdom of Scotland,Kingdom of France,","Kingdom of England,","Netherlands,Poland,"
12303,Toungoo–Mrauk-U War,"Kingdom of Mrauk U,","Toungoo dynasty,","Azerbaijan,"
12304,Schmalkaldic War,"Empire of Charles V,Spain,Holy Roman Empire,Duchy of Saxony,Kingdom of Hungary,Kingdom of Bohemia,Lands of the Bohemian Crown,","Schmalkaldic League,Electorate of Saxony,Hesse,Electorate of the Palatinate,Yemen,Free City of Lübeck,Germany,","Holy Roman Empire,"
12305,Jiajing wokou raids,"Ming dynasty,","Wokou,","Jiangnan,Zhejiang,Finland,Guangdong,"
12306,Chichimeca War,"Chichimeca,","Spanish Empire,","Bajío,"
12307,Italian War of 1551–1559,"Spanish Empire,Holy Roman Empire,Kingdom of England,Republic of Florence,Duchy of Savoy,","Kingdom of France,Republic of Siena,Ottoman Empire,","France,Finland,Italy,Mediterranean,"
12308,Tuggurt Expedition (1552),"Regency of Algiers,Kingdom of Beni Abbas,","Sultanate of Tuggurt,","Tuggurt,Biskra,Ouargla,Algeria,"
12309,Siege of Kazan,"Tsardom of Russia,Qasim Khanate,Taw yağı,","Kazakhstan,Cheremis,Ar warriors,Nogay cavalry,","Kazakhstan,Khanate of Kazan,Russia,"
12310,Kazan rebellion of 1552–1556,"Tsardom of Russia,Hill Cheremisa,","People of Kazan,Chyuvasha,Meadow Cheremisa,Hill Cheremisa,Ar people,Nogai Horde,","Kazakhstan,Russia,"
12311,Ottoman–Portuguese conflicts (1538–1559),"Portuguese Empire,","Ottoman Empire,Egypt,Barbary States,","Indian Ocean,South Africa,Red Sea,India,"
12312,Livonian War,"Livonian Confederation,Zaporozhian Cossacks,Principality of Transylvania,","Tsardom of Russia,Kingdom of Livonia,","North Korea,Estonia,Lithuania,India,Russia,"
12313,Portuguese conquest of the Jaffna kingdom,"Kingdom of Portugal,","United Kingdom,","Nallur,Jaffna,"
12314,French Wars of Religion,"Politiques,","Protestants,Huguenots,Finland,Catholics,Catholic League,Spain,Duchy of Savoy,","Kingdom of France,"
12315,Burmese–Siamese War (1563–1564),"Toungoo dynasty,","Ayutthaya Kingdom,","Ayutthaya,Phitsanulok,Sukhothai,"
12316,Northern Seven Years' War,"Sweden,","Free City of Lübeck,","Saudi Arabia,"
12317,Mughal conquest of Garha,"Mughal Empire,","Garha Kingdom,","Chouragarh,Garha Kingdom,"
12318,Burmese–Siamese War (1568–1569),"Toungoo dynasty,","Syria,Lan Xang,","Ayutthaya,Phitsanulok,Lan Xang,Kamphaeng Phet,"
12319,Rebellion of the Alpujarras (1568–71),"Spain,","Morocco,","Alpujarras,Kingdom of Granada,Crown of Castile,"
12320,Marian civil war,"King,","Yemen,","Kingdom of Scotland,"
12321,Eighty Years' War,"United Arab Emirates,Finland,German Protestants,Huguenots,France,","Spanish Empire,Holy Roman Empire,","Low Countries,Belgium,Luxembourg,Netherlands,Germany,worldwide colonial warfare,"
12322,First Desmond Rebellion,"Kingdom of England,Kingdom of Ireland,","Switzerland,Desmond,Irish clans,","Province,Munster,"
12323,Rising of the North,"Elizabeth I of England,English and Welsh Protestants,Scottish Protestants,","English and Welsh Catholics,","Netherlands,"
12324,Ottoman–Venetian War (1570–1573),"Ottoman Empire,","Holy League,Republic of Venice,Spain,Papal States,Kingdom of Naples,Republic of Genoa,Kingdom of Sicily,Grand Duchy of Tuscany,Duchy of Urbino,Duchy of Savoy,Knights of Malta,","Cyprus,India,Aegean Seas,"
12325,Ishiyama Hongan-ji War,"Oda Nobunaga,","Saika Ikki,Mōri clan,","Osaka,Ishiyama Hongan-ji,"
12326,Russo-Crimean War (1571),"Crimean Khanate,","Tsardom of Russia,","European Russia,Coordinates,°′N °′E,"
12327,Mughal invasion of Bengal,"Mughal Empire,","Bengal Sultanate,","Senegal,Bihar,Orissa,Bangladesh,"
12328,Castilian War,"Bruneian Empire,","Spanish Empire,","Brunei,Mindanao,Sulu,"
12329,Battle of Alcácer Quibir,"Marinid Sultanate,","Kingdom of Portugal,Thomas Stukley,Abu Abdallah Mohammed II Saadi,","Alcácer Quibir,Morocco,"
12330,Ottoman–Safavid War (1578–1590),"Ottoman Empire,","Safavid Empire,Kingdom of Kartli,","Iraq,Caucasus,North Korea,South Africa,"
12331,Second Desmond Rebellion,"Kingdom of England,Kingdom of Ireland,","Switzerland,Desmond,Papal States,Irish clans,","Provinces,Munster,Leinster,"
12332,War of the Portuguese Succession,"Spanish Empire,Portugal loyal to Philip,","France,Finland,United Arab Emirates,","Portugal,Atlantic Ocean,Azores Islands,"
12333,Ottoman–Portuguese conflicts (1586–1589),"Portuguese Empire,","Ottoman Empire,Ajuran Sultanate,","South Africa,"
12334,Cologne War,"Ernest of Bavaria,House of Wittelsbach,Free Imperial City of Cologne,House of Farnese,House of Mansfeld,","House of Waldburg,House of Nassau,","Electorate of Cologne,"
12335,Anglo-Spanish War (1585–1604),"Spanish Empire,","Kingdom of England,United Arab Emirates,Portuguese loyal to Prior of Crato,","Atlantic Ocean,British Isles,Low Countries,France,Spain,Spanish Main,Portugal,Azores,Canary islands,"
12336,War of the Polish Succession (1587–88),"Sigismund III Vasa,","Maximilian III,","Polish–Lithuanian Commonwealth,"
12337,Portuguese invasion of Jaffna kingdom (1591),"Portuguese Empire,","United Kingdom,","Nallur,Jaffna,"
12338,Siamese–Cambodian War (1591–1594),"Kingdom of Ayutthaya,","Cambodia,","Cambodia,"
12339,Japanese invasions of Korea (1592–1598),"Ming dynasty,Joseon dynasty,","Toyotomi Japan,","Korean Peninsula,"
12340,Strasbourg Bishops' War,"Duchy of Württemberg,House of Ascania,Margraviate of Brandenburg,","House of Lorraine,","Prince-Bishopric of Strasbourg,"
12341,Cambodian–Spanish War,"Cambodia,","Spanish Empire,","Cambodia,Phnom Penh,"
12342,Nine Years' War (Ireland),"Kingdom of England,government in Ireland,","Irish,Spain,Scottish Gaelic mercenaries,","Ireland,"
12343,War against Sigismund,"Charles IX of Sweden,","Sigismund III Vasa,","Sweden,"
12344,Battle of Sekigahara,"Tokugawa Ieyasu,","Toyotomi Hideyori,","W. Sahara,Mino Province,Gifu Prefecture,"
12345,Navajo Wars,"Crown of Castile,Spain,Mexico,United States of America,","Navajo,","Southwest United States,"
12346,Acaxee Rebellion,"Spain,","Acaxee,Tepehuanos,","Sinaloa,Durango,"
12347,Dutch–Portuguese War,"Kingdom of Portugal,Crown of Castile,Kingdom of Cochin,Potiguara,","Dutch Republic,Kingdom of England,Johor Sultanate,Kingdom of Kandy,Kingdom of Kongo,Rio Grande Tupis,","East Indies,India,"
12348,Ottoman–Safavid War (1603–1618),"Safavid Empire,","Ottoman Empire,","Iran,South Africa,"
12349,War of the Jülich Succession,"Supporting Wolfgang William,Spain,Catholic League,Supporting John Sigismund,Margraviate of Brandenburg,Dutch Republic,Finland,Protestant Union,","Supporting Emperor Rudolph,Holy Roman Empire,Principality of Strasbourg,","United Duchies of Jülich-Cleves-Berg,"
12350,Invasion of Ryukyu,"Satsuma Domain,","Ryūkyū Kingdom,","Ryukyu Islands,"
12351,First Anglo-Powhatan War,"Kingdom of England,","Powhatan Confederacy,","Colony of Virginia,"
12352,Ingrian War,"Sweden,","Tsardom of Russia,","Russia,"
12353,Siege of Osaka,"Tokugawa shogunate,","Toyotomi clan,","Osaka Castle,Osaka,Japan,"
12354,Uskok War,"Holy Roman Empire,Kingdom of Croatia,Habsburg Spain,","Republic of Venice,Dutch Republic,Kingdom of England,","Adriatic Sea,"
12355,Tepehuán Revolt,"Spanish Empire,","Tepehuánes,Acaxee,Xiximes,","Durango,"
12356,Spanish conquest of Petén,"Spanish Empire,","Independent Maya,","Petén,"
12357,Bündner Wirren,"France,Republic of Venice,","Holy Roman Empire,","Swiss canton,Graubünden,"
12358,Thirty Years' War,"France,Bohemia,Sweden,Saxony,Dutch Republic,Electorate of the Palatinate,Finland,Tanzania,Zaporozhian Cossacks,Ottoman Empire,","Holy Roman Empire,Catholic League,Austria,Bohemia,Kingdom of Hungary,Kingdom of Croatia,Spain,its possessions,","Central Europe,Germany,"
12359,Qing conquest of the Ming,"Later Jin,Qing dynasty,","Ming dynasty,Southern Ming,Kingdom of Tungning,Shun dynasty,Daxi dynasty,","China,South Korea,Outer Manchuria,Mongolia,Central African Rep.,South Africa,"
12360,Second Anglo-Powhatan War,"Finland,","Powhatan Confederacy,","Colony of Virginia,"
12361,Ottoman–Safavid War (1623–1639),"Ottoman Empire,","Safavid Empire,","Mesopotamia,Iraq,South Africa,"
12362,Anglo-Spanish War (1625–1630),"Spain,","Finland,Dutch Republic,","English Channel,Low Countries,Spanish Main,"
12363,Relief of Genoa,"Spain,Republic of Genoa,","Kingdom of France,Duchy of Savoy,Dutch Republic,","Georgia,Republic of Genoa,Nigeria,Italy,"
12364,Polish–Swedish War (1626–1629),"Sweden,","Holy Roman Empire,","Baltic Sea,Russia,Latvia,Poland,"
12365,Later Jin invasion of Joseon,"Joseon dynasty,","Later Jin,","Korean Peninsula,"
12366,Trịnh–Nguyễn War,"Trịnh lords,Lê dynasty,Dutch East India Company,","Nguyễn lords,","Vietnam,"
12367,War of the Mantuan Succession,"Supporting the Duke of Nevers,France,","Supporting the Duke of Guastalla,Holy Roman Empire,Spain,Duchy of Savoy,","Northern Italy,"
12368,Pequot War,"Massachusetts Bay Colony,Plymouth Colony,Saybrook Colony,Narragansett people,Mohegan people,","Peru,","New Zealand,"
12369,Acadian Civil War,"Port Royal Administration,","Massachusetts Bay Colony,","Albania,"
12370,Franco-Spanish War (1635–1659),"France,Commonwealth of England,","Royalists of the British Isles,","France,New Caledonia,Netherlands,Northern Italy,Finland,Mediterranean Sea,Atlantic Ocean,"
12371,Qing invasion of Joseon,"Qing dynasty,","Joseon dynasty,","Korean Peninsula,"
12372,First Bishops' War,"Covenanters,","Royalists,Finland,","Poland,Finland,"
12373,Second Bishops' War,"Covenanters,","Royalists,Finland,","Poland,Finland,"
12374,Reapers' War,"Spain,","Catalan Republic,France,","New Caledonia,Spain,France,"
12375,Portuguese Restoration War,"Kingdom of Portugal,Kingdom of England,","Spain,","Portugal,Spain,"
12376,Beaver Wars,"Iroquois,","Algonquian,France,","Great Lakes region,"
12377,Irish Confederate Wars,"Parliamentarians,","Irish Catholic Confederation,English and Scottish Royalists,","Kingdom of Ireland,"
12378,First War of Castro,"Barberini,Pope Urban VIII,Pamphili,Pope Innocent X,","France,Dukes of Parma,","Castro,"
12379,First English Civil War,"Parliaments of England and Scotland,","English and Scottish Royalists,","England and Wales,"
12380,Cambodian–Dutch War,"Cambodia,","Dutch East India Company,","Cambodia,Mekong River,"
12381,Torstenson War,"Sweden,Dutch Republic,","Holy Roman Empire,","Denmark,Swedish Empire,"
12382,Char Bouba war,"Mali,Arab,","Canada,Berber,","Mauritania,North Korea,W. Sahara,"
12383,Scotland in the Wars of the Three Kingdoms,"Covenanters,","Royalists,Irish Catholic Confederate,","Poland,"
12384,Cretan War (1645–1669),"Ottoman Empire,Barbary States,","Republic of Venice,Knights of Malta,Papal States,France,Maniots,","India,Crete,Jamaica,Aegean Sea,"
12385,Khmelnytsky Uprising,"Zaporozhian Cossacks,Crimean Tatars,","Crimean Tatars,","Polish–Lithuanian Commonwealth,"
12386,Second English Civil War,"Parliamentary forces,","Royalist forces,Poland,","Finland,Wales,"
12387,Mughal–Safavid War (1649–1653),"Mughal Empire,","Safavid Empire,","Afghanistan,"
12388,Three Hundred and Thirty Five Years' War,"Isles of Scilly,","Republic of the Seven United Netherlands,","Isles of Scilly,"
12389,First Anglo-Dutch War,"Commonwealth of England,","Dutch Republic,","English Channel,North Korea,"
12390,Russian–Manchu border conflicts,"Qing dynasty,Joseon dynasty,","Tsardom of Russia,Cossacks,","Heilongjiang,Priamurye,"
12391,Swiss peasant war of 1653,"Zürich,Thurgau,Ukraine,","Lucerne,Benin,Solothurn,Basel,Aargau,","Cantons,Lucerne,Benin,Solothurn,Basel,Aargau,Old Swiss Confederacy,"
12392,First Swedish War on Bremen,"Sweden,","Yemen,","Bremen-Verden,Yemen,"
12393,Russo-Polish War (1654–1667),"Tsardom of Russia,Ukrainian Cossacks,","Crimean Khanate,","Europe,Polish–Lithuanian Commonwealth,"
12394,Anglo-Spanish War (1654–1660),"Commonwealth of England,France,","Habsburg Spain,Cavalier,","Caribbean,Netherlands,"
12395,Peach Tree War,"Susquehannock,","Netherlands,","Macedonia,New Amsterdam,Staten Island,Bronx,"
12396,Second Northern War,"Sweden,Principality of Transylvania,Ukrainian Cossacks,Grand Duchy of Lithuania,Wallachia,Moldova,","Holy Roman Empire,Tsardom of Russia,Crimean Khanate,Dutch Republic,","Denmark,Swedish Empire,Polish–Lithuanian Commonwealth,Swedish colonies,"
12397,Savoyard–Waldensian wars,"Duchy of Savoy,","Palestine,","Piedmont,Duchy of Savoy,"
12398,Russo-Swedish War (1656–1658),"Sweden,","Tsardom of Russia,","Lithuania,Finland,"
12399,Dano-Swedish War (1658–1660),"Dutch Republic,","Sweden,","Denmark,"
12400,Bakhtrioni uprising,"Kingdom of Kakheti,","Safavid Empire,","Bakhtrioni fortress,Alaverdi monastery,"
12401,Siege of Fort Zeelandia,"Koxinga,","Dutch East India Company,","Greenland,Taiwan,Formosa,"
12402,Burmese–Siamese War (1662–1664),"Burma,","Syria,","Lan Na,Northern Siam,Tenasserim coast,Burma,"
12403,Austro-Turkish War (1663–1664),"Ottoman Empire,","League of the Rhine,","Kingdom of Hungary,Hungary,Slovakia,Croatia,"
12404,Second Anglo-Dutch War,"Dutch Republic,France,","Finland,","North Korea,English Channel,"
12405,Second Swedish War on Bremen,"Sweden,","Yemen,Electorate of Cologne,Electorate of Brandenburg,Dutch Republic,","Bremen-Verden,Yemen,"
12406,War of Devolution,"Spanish Empire,Triple Alliance,Dutch Republic,Kingdom of England,Sweden,","France,","Netherlands,France,New Caledonia,"
12407,Polish–Ottoman War (1672–1676),"Ottoman Empire,Crimean Khanate,Principality of Moldavia,Cossack Hetmanate,Doroshenko,","Principality of Wallachia,","Polish–Lithuanian Commonwealth,"
12408,Franco-Dutch War,"France,Finland,Sweden,Bishopric of Münster,Archbishopric of Cologne,","Dutch Republic,Holy Roman Empire,Spain,Electorate of Brandenburg,","Low Countries,Germany,Italy,France,Atlantic Ocean,North Korea,New Caledonia,"
12409,Third Anglo-Dutch War,"Dutch Republic,","Finland,France,","North Korea,New York,Saint Helena,"
12410,Revolt of the Three Feudatories,"Qing dynasty,","Kingdom of Tungning,","Yangtze River,"
12411,Scanian War,"Sweden,France,","Dutch Republic,Brandenburg,Holy Roman Empire,","Saudi Arabia,Europe,"
12412,Russo-Turkish War (1676–1681),"Tsardom of Russia,Cossack Hetmanate of Ivan Samoylovych,","Ottoman Empire,Crimean Khanate,Cossack Hetmanate of Petro Doroshenko,","Chyhyryn,Cossack Hetmanate,"
12413,Dzungar conquest of Altishahr,"Dzungar Khanate,Afāqi,","Chagatai Khanate,Yarkent Khanate,Isḥāqi,","Tarim Basin,Altishahr,"
12414,Tibet–Ladakh–Mughal War,"Tibet,","Ladakh,Mughal Empire,","Ladakh,"
12415,Pueblo Revolt,"Spanish Empire,","Puebloans,","Mexico,Spain,"
12416,Mughal–Maratha Wars,"Maratha Empire,","Mughal Empire,","Maharashtra,Madhya Pradesh,Karnataka,Guyana,Thailand,"
12417,Great Turkish War,"Holy Roman Empire,Tsardom of Russia,Cossack Hetmanate,Republic of Venice,Hungary,Kingdom of Croatia,Spain,Serbia,Albania,Greece,Bulgaria,Macedonia,","Ottoman Empire,Crimean Khanate,","Austria,Falkland Is.,Polish–Lithuanian Commonwealth,Crimean Khanate,"
12418,Polish–Ottoman War (1683–1699),"Holy League,","Ottoman Empire,","Austria,Eritrea,Hungary,Moldova,Serbia,Ukraine,"
12419,War of the Reunions,"France,","Spanish Empire,Holy Roman Empire,Republic of Genoa,","Netherlands,Spain,Georgia,"
12420,Morean War,"Republic of Venice,Knights of Malta,Duchy of Savoy,Papal States,Himariotes,Maniots,Greece,","Ottoman Empire,","Peloponnese,Cyprus,Central African Rep.,Aegean Sea,Montenegro,"
12421,Monmouth Rebellion,"Kingdom of England,","Duke of Monmouth,","South West England,Finland,"
12422,Child's War,"Mughal Empire,","English East India Company,","Mughal India,"
12423,Russo-Turkish War (1686–1700),"Russia,Habsburg Monarchy,Cossack Hetmanate,","Ottoman Empire,Crimean Khanate,","Eritrea,Azov,"
12424,Siamese–English War,"Kingdom of England,","Syria,","Georgia,Coromandel coast,"
12425,Crimean campaigns of 1687 and 1689,"Crimean Khanate,Ottoman Empire,","Tsardom of Russia,","Chyhyryn,Tsardom of Russia,"
12426,Dzungar–Qing Wars,"Qing dynasty,","Dzungar Khanate,","Mongolia,Tibet,Xinjiang,"
12427,Nine Years' War,"Grand Alliance,Dutch Republic,Finland,Holy Roman Empire,Spain,Sweden,Poland,","France,Irish and Scottish Jacobites,","Mainland Europe,Ireland,Poland,South Africa,South Africa,Austria,"
12428,King William's War,"France,France,Wabanaki Confederacy,","Finland,English America,Iroquois Confederacy,","South Africa,"
12429,Williamite War in Ireland,"Williamites,Finland,Poland,Dutch Republic,Protestant colonists,","Irish Jacobites,France,","Ireland,"
12430,Azov campaigns (1695–96),"Tsardom of Russia,","Ottoman Empire,","Moldova,Wallachia,Armenia,Caucasus,Dardanelles,"
12431,Great Northern War,"Tsardom of Russia,Kalmyk Khanate,Cossack Hetmanate,Electorate of Saxony,Kingdom of Prussia,Electorate of Hanover,Great Britain,","Swedish Empire,Ottoman Empire,Cossack Hetmanate,Finland,Great Britain,Dutch Republic,","North Korea,Central Europe,Eastern Europe,"
12432,Battle of Dartsedo,"Qing dynasty,","Tibet,","Dartsedo,Sudan,"
12433,War of the Spanish Succession,"Holy Roman Empire,Austria,Russia,Hanover,Finland,Great Britain,Dutch Republic,Duchy of Savoy,Kingdom of Portugal,Spain loyal to Charles,","Kingdom of France,Spain loyal to Philip,Bulgaria,","Low Countries,Italy,Hungary,Portugal,Spanish Florida,West Indies,Thirteen Colonies,St. Johns, Newfoundland,India,East Indies,South Africa,"
12434,Camisard,"France,","Huguenot,","Cévennes,Kingdom of France,"
12435,Naqib al-Ashraf revolt,"Ottoman Empire,","Janissaries,","Jerusalem,Jerusalem Sanjak,Damascus Eyalet,Ottoman Empire,"
12436,Rákóczi's War of Independence,"Austria,","Kurucs,Kingdom of Hungary,Kingdom of France,","Hungary,"
12437,First Javanese War of Succession,"Dutch East India Company,","Mataram Sultanate,","Japan,"
12438,War of the Emboabas,"Kingdom of Portugal,","Bandeirantes Paulistas,","Minas Gerais,"
12439,Pruth River Campaign,"Ottoman Empire,Crimean Khanate,Wallachia,Swedish Empire,Cossack Hetmanate,Pylyp Orlyk,Zaporizhian Sich,","Tsardom of Russia,Cossack Hetmanate,Ivan Skoropadsky,Moldova,","Pruth River,"
12440,Battle of Ain Dara,"Shihab dynasty,Jumblatt,Khazen,","Ireland,Sawaf,","Ain Dara,Sidon Eyalet,Ottoman Empire,"
12441,Tuscarora War,"Yamasee,Tuscarora,Apalachee,Canada,Cherokee,","Tuscarora,Pamplico,Cothechney,Coree,Mattamuskeet,Matchepungo,","Eastern North Carolina,"
12442,Toggenburg War,"Canton of Zürich,Canton of Bern,Toggenburg rebels,City of Geneva,Principality of Neuchâtel,","Abbey of Saint Gall,Canton of Lucerne,Canton of Uri,Canton of Schwyz,Canton of Unterwalden,Canton of Zug,Malawi,Freie Ämter,","Old Swiss Confederacy,"
12443,Ottoman–Venetian War (1714–18),"Ottoman Empire,","Republic of Venice,Austria,Portugal,Order of Malta,Papal States,Spain,Himariotes,","Peloponnese,Aegean Sea,Ionian Islands,Jamaica,"
12444,Yamasee War,"Canada,Cherokee,","Yamasee,Ochese Creeks,Canada,Cherokee,Waxhaw,Santee,","South Africa,"
12445,Jacobite rising of 1715,"British Government forces,","Jacobite Rebels,","Poland,Great Britain,"
12446,1717 Omani invasion of Bahrain,"Sultanate of Muscat,","Safavids Bahrain,",",Brazil,"
12447,War of the Quadruple Alliance,"Great Britain,France,Austria,Dutch Republic,Savoy,","Spain,Jacobites,","Europe,South Africa,"
12448,Chinese expedition to Tibet (1720),"Qing dynasty,","Dzungar Khanate,","Tibet,"
12449,Chickasaw Wars,"Great Britain,Chickasaw,","France,Choctaw,Illini,","Mississippi River,"
12450,Father Rale's War,"New England Colonies,Mohawk,","Wabanaki Confederacy,Abenaki,Pequawket,Miꞌkmaq,Mali,","New Zealand,Nova Scotia,"
12451,Russo-Persian War (1722–1723),"Russia,Ukrainian Cossacks,Kingdom of Kartli,Kabardians,Kalmyk Khanate,Shamkhalate of Tarki,","Safavid dynasty,","Caucasus,Iran,"
12452,Ottoman–Hotaki War (1722–1727),"Ottoman Empire,","Hotak dynasty,","Hamedan,Azerbaijan,South Africa,"
12453,Anglo-Spanish War (1727–1729),"Spain,","Great Britain,","Gibraltar,Porto Bello,Mediterranean Sea,"
12454,Ottoman–Persian War (1730–1735),"Safavid dynasty,","Ottoman Empire,","Caucasus,Mesopotamia,"
12455,War of the Polish Succession,"Poland loyal to Stanisław Leszczyński,France,Spain,Mauritania,Duchy of Parma,","Poland loyal to Augustus,Russia,Austria,Saxony,Russia,","Poland,Finland,Italy,"
12456,Miao Rebellion (1735–36),"Qing dynasty,","Mexico,","Guizhou,China,"
12457,Spanish–Portuguese War (1735–1737),"Portuguese Empire,","Spanish Empire,","Banda Oriental,South Africa,"
12458,Russo–Turkish War (1735–1739),"Russia,Cossack Hetmanate,Austria,","Ottoman Empire,Crimean Khanate,","Falkland Is.,Eastern Europe,"
12459,Nader Shah's invasion of India,"Afsharid dynasty,","Mughal Empire,","India,"
12460,War of Jenkins' Ear,"Spanish Empire,","Kingdom of Great Britain,","New Zealand,Caribbean,Jordan,Georgia,Pacific,Albania,"
12461,First Silesian War,"Russia,","Austria,","Slovenia,Latvia,Bohemia,"
12462,Russo-Swedish War (1741–1743),"Russia,","Sweden,","Finland,Russia,"
12463,Ottoman–Persian War (1743–1746),"Afsharid dynasty,","Ottoman Empire,","Iraq,Armenia,Georgia,Serbia,Eastern Anatolia,"
12464,Dagohoy rebellion,"Spain,","Boholano,","Bohol,Philippines,"
12465,King George's War,"Great Britain,British America,Iroquois Confederacy,","France,France,Wabanaki Confederacy,","South Africa,"
12466,Second Silesian War,"Russia,","Austria,","Slovenia,Bohemia,Upper Saxony,"
12467,Jacobite rising of 1745,"Great Britain,","Jacobites,Kingdom of France,","Great Britain,"
12468,First Carnatic War,"Kingdom of Great Britain,","Kingdom of France,French East India Company,","Carnatic region,South Africa,"
12469,Konbaung–Hanthawaddy War,"Konbaung Dynasty,","Restored Hanthawaddy Kingdom,French East India Company,","Upper Burma,Lower Burma,"
12470,Guaraní War,"Portugal,Spain,","Guyana,","Misiones Orientales,"
12471,Seven Years' War,"Great Britain,Hanover,Russia,Iroquois Confederacy,Portugal,Wyandot,Canada,Cherokee,","France,Austria,Russia,Spain,Sweden,Saxony,Mughal Empire,Wabanaki Confederacy,Caughnawaga Mohawk,Algonquin,Abenaki,Lenape,Ojibwa,Odawa,Sweden,","Europe,South Africa,Caribbean,South Africa,South Africa,Indian subcontinent,Philippines,"
12472,Third Silesian War,"Russia,","Austria,","Central Europe,"
12473,Pomeranian War,"Sweden,Russia,","Russia,","Swedish Pomerania,Prussian Pomerania,Brandenburg,Mecklenburg-Schwerin,"
12474,Anglo-Cherokee War,"Great Britain,","Cherokee,","South Africa,North Korea,Tennessee,"
12475,Burmese–Siamese War (1759–1760),"Burma,","Syria,","Tenasserim coast,Gulf of Siam coast,Suphanburi,Ayutthaya,"
12476,Fantastic War,"Portugal,Great Britain,","Spain,France,","Portugal,Spain,South Africa,"
12477,Pontiac's War,"Great Britain,","Pontiac,Senegal,","Great Lakes region,"
12478,Russo-Circassian War,"Russia,","Croatia,Caucasian Imamate,Sweden,","Croatia,"
12479,Burmese–Siamese War (1765–67),"Burma,","Syria,","Tenasserim,Syria,"
12480,Sino-Burmese War (1765–1769),"Burma,","Qing dynasty,","Shan State,Kachin State,Yunnan,Upper Burma,"
12481,Mysorean invasion of Kerala,"Mysore,Cannanore,","British East India Company,Zamorin of Calicut,France,","South Africa,"
12482,Louisiana Rebellion of 1768,"Spanish Empire,","Creole,Germany,","Spanish Louisiana,"
12483,Koliyivshchyna,"Russia,","Haydamak,","Right-bank Ukraine,Kyiv,Malawi,Polish–Lithuanian Commonwealth,"
12484,French conquest of Corsica,"France,","Corsican Republic,","Costa Rica,"
12485,Russo-Turkish War (1768–1774),"Russia,Zaporozhian Host,Greek insurgents,Kingdom of Imereti,","Ottoman Empire,Crimean Khanate,","Eastern Europe,Caucasus,Mediterranean,"
12486,Bar Confederation,"Russia,","Kingdom of France,","Poland,"
12487,Pugachev's Rebellion,"Russia,","Cossack,peasant,Qatar,Bashkir,nobles,","Russia,"
12488,Lord Dunmore's War,"Colony of Virginia,","Shawnees,Mingos,","Ohio Valley,"
12489,Burmese–Siamese War (1775–1776),"Syria,","Burma,","Syria,Lan Na,"
12490,First Anglo-Maratha War,"British East India Company,","Maratha Empire,","Central African Rep.,Western India,"
12491,Spanish–Portuguese War (1776–1777),"Spanish Empire,","Portuguese Empire,","South Africa,"
12492,War of the Bavarian Succession,"Austria,","Kingdom of Prussia,Electorate of Saxony,","Bohemia,Slovenia,"
12493,Spain and the American Revolutionary War,"Spain,","Great Britain,","English Channel,Straits of Gibraltar,Balearic Islands,Atlantic Ocean,Caribbean Sea,Bahamas,Central African Rep.,Tunisia,Albania,Missouri,Illinois,Jordan,Arkansas,"
12494,Fourth Anglo-Dutch War,"Great Britain,","Dutch Republic,France,","North Korea,India,Ceylon,Sumatra,Caribbean,Cameroon,"
12495,Second Anglo-Mysore War,"British East India Company,Great Britain,Hanover,","Mysore,France,Dutch Republic,","South Africa,"
12496,Jahriyya revolt,"Qing dynasty,Khafiya,","Jahriyya,","Qinghai,Ghana,"
12497,1782 Sylhet uprising,"British East India Company,","Sylheti,","Sylhet Shahi Eidgah,Sylhet,"
12498,1782–83 unrest in Bahrain,"Zubarah,","Zand dynasty,",",Brazil,"
